state,city,station,,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB",,22.118125,83.140608,OZONE,34,60,50
Chhattisgarh,Korba,"Rampur, Korba - CECB",,22.368195,82.746431,PM2.5,57,122,83
Chhattisgarh,Korba,"Rampur, Korba - CECB",,22.368195,82.746431,PM10,45,120,67
Chhattisgarh,Korba,"Rampur, Korba - CECB",,22.368195,82.746431,SO2,17,51,23
Chhattisgarh,Korba,"Urja Nagar, Korba - CECB",,22.348441,82.549611,PM2.5,39,280,77
Chhattisgarh,Korba,"Urja Nagar, Korba - CECB",,22.348441,82.549611,PM10,71,430,122
Chhattisgarh,Korba,"Urja Nagar, Korba - CECB",,22.348441,82.549611,SO2,8,61,17
Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB",,22.12665,83.483212,CO,28,34,31
Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB",,22.12665,83.483212,OZONE,8,8,8
Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",,26.11442,85.39813,SO2,3,16,7
Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",,26.11442,85.39813,OZONE,9,41,34
Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB",,26.1403345,85.3650192,SO2,4,5,5
Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",,26.1209,85.3647,PM2.5,38,122,75
Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",,25.586562,85.043586,NO2,28,34,31
Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",,25.586562,85.043586,OZONE,1,38,32
Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",,25.592539,85.227158,NH3,11,12,12
Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB",,22.1910172,83.5197009,OZONE,18,28,26
Chhattisgarh,Raipur,"AIIMS, Raipur - CECB",,21.258815,81.578979,PM10,43,157,104
Chhattisgarh,Raipur,"AIIMS, Raipur - CECB",,21.258815,81.578979,CO,27,61,34
Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB",,21.219665,81.630094,NH3,2,2,2
Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB",,21.219665,81.630094,SO2,3,28,10
Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB",,21.237755,81.705301,PM10,52,111,82
Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB",,21.237755,81.705301,NO2,18,35,28
Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",,26.0881305,87.93840336,PM10,60,264,128
Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",,26.0881305,87.93840336,SO2,1,68,30
Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB",,27.308328,84.531742,PM10,25,124,65
Bihar,Motihari,"Gandak Colony, Motihari - BSPCB",,26.63086,84.90051,NH3,3,3,3
Bihar,Motihari,"Gandak Colony, Motihari - BSPCB",,26.63086,84.90051,CO,32,82,36
Bihar,Munger,"Town Hall, Munger - BSPCB",,25.376776,86.471523,NO2,44,46,45
Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB",,25.0328,85.41948,SO2,1,18,6
Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB",,25.0328,85.41948,OZONE,30,38,34
Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB",,25.859655,85.77944,PM10,52,500,212
Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB",,25.859655,85.77944,NH3,2,2,2
Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB",,25.859655,85.77944,OZONE,4,9,7
Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB",,24.952822,84.002396,PM10,57,164,93
Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB",,24.952822,84.002396,SO2,5,5,5
Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB",,26.2271665,84.3570427,PM10,37,386,156
Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC",,30.735567,76.775714,SO2,17,43,26
Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC",,30.735567,76.775714,CO,30,60,39
Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC",,30.751462,76.762879,NH3,17,34,27
Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC",,30.751462,76.762879,CO,14,56,20
Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB",,22.06631475,83.33820077,OZONE,99,140,124
Delhi,Delhi,"Alipur, Delhi - DPCC",,28.815329,77.15301,NH3,11,13,12
Delhi,Delhi,"Anand Vihar, Delhi - DPCC",,28.647622,77.315809,SO2,3,37,23
Delhi,Delhi,"Anand Vihar, Delhi - DPCC",,28.647622,77.315809,CO,74,172,100
Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant",,21.185571,81.343175,NH3,2,2,2
Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant",,21.185571,81.343175,OZONE,7,27,21
Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",,25.610369,85.132568,CO,8,26,14
Bihar,Patna,"Muradpur, Patna - BSPCB",,25.619651,85.147382,SO2,6,8,7
Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB",,25.599486,85.113666,PM2.5,48,155,103
Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB",,25.366336,87.117468,PM2.5,65,347,198
Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",,28.498571,77.26484,PM2.5,36,397,223
Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",,28.498571,77.26484,NH3,7,10,8
Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",,28.498571,77.26484,OZONE,6,190,150
Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ",,28.5710274,77.0719006,NO2,34,71,52
Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ",,28.5710274,77.0719006,NH3,10,17,13
Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ",,28.5710274,77.0719006,CO,24,127,40
Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ",,28.5710274,77.0719006,OZONE,5,87,70
Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",,28.6811736,77.3025234,NO2,3,61,26
Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",,28.6811736,77.3025234,NH3,10,14,12
Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",,28.6811736,77.3025234,SO2,10,23,14
Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB",,23.002657,72.591912,NO2,29,36,30
Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM",,23.020509,72.579261,OZONE,13,269,153
Gujarat,Ahmedabad,"Rakhial, Ahmedabad - IITM",,23.016834,72.625775,CO,13,36,22
Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM",,23.076793,72.627874,OZONE,63,125,85
Delhi,Delhi,"Najafgarh, Delhi - DPCC",,28.570173,76.933762,NH3,8,11,9
Delhi,Delhi,"Narela, Delhi - DPCC",,28.822836,77.101981,PM10,102,428,256
Delhi,Delhi,"Narela, Delhi - DPCC",,28.822836,77.101981,NH3,6,9,7
Delhi,Delhi,"Narela, Delhi - DPCC",,28.822836,77.101981,OZONE,6,56,45
Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",,28.56789,77.250515,NO2,48,123,85
Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC",,28.530785,77.271255,PM10,109,500,269
Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC",,28.530785,77.271255,SO2,10,80,30
Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC",,28.530785,77.271255,CO,44,108,69
Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC",,28.531346,77.190156,NH3,5,8,6
Delhi,Delhi,"Vivek Vihar, Delhi - DPCC",,28.672342,77.31526,PM2.5,77,401,253
Delhi,Delhi,"Vivek Vihar, Delhi - DPCC",,28.672342,77.31526,OZONE,5,311,224
Delhi,Delhi,"Wazirpur, Delhi - DPCC",,28.699793,77.165453,NO2,56,182,115
Delhi,Delhi,"ITO, Delhi - CPCB",,28.628624,77.24106,CO,32,136,44
Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",,28.73282,77.170633,PM2.5,72,458,251
Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",,28.58028,77.233829,PM2.5,28,302,170
Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",,28.58028,77.233829,NO2,36,117,84
Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",,28.58028,77.233829,OZONE,2,96,82
Delhi,Delhi,"Lodhi Road, Delhi - IITM",,28.588333,77.221667,PM10,88,178,140
Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",,28.60909,77.0325413,PM2.5,48,262,153
Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",,28.60909,77.0325413,PM10,99,200,152
Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",,28.60909,77.0325413,NH3,6,9,8
Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",,28.60909,77.0325413,CO,17,90,65
Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",,28.60909,77.0325413,OZONE,18,66,53
Delhi,Delhi,"Najafgarh, Delhi - DPCC",,28.570173,76.933762,NO2,56,148,99
Delhi,Delhi,"Aya Nagar, Delhi - IMD",,28.4706914,77.1099364,CO,20,106,37
Delhi,Delhi,"Bawana, Delhi - DPCC",,28.7762,77.051074,PM2.5,75,439,258
Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD",,28.5512005,77.2735737,PM10,112,417,272
Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD",,28.5512005,77.2735737,CO,28,135,44
Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD",,28.5512005,77.2735737,OZONE,74,248,172
Delhi,Delhi,"Rohini, Delhi - DPCC",,28.732528,77.11992,NH3,6,16,12
Delhi,Delhi,"Shadipur, Delhi - CPCB",,28.6514781,77.1473105,NO2,67,83,75
Delhi,Delhi,"Sonia Vihar, Delhi - DPCC",,28.710508,77.249485,PM10,119,349,203
Delhi,Delhi,"Pusa, Delhi - DPCC",,28.639652,77.146275,CO,3,64,10
Delhi,Delhi,"Pusa, Delhi - DPCC",,28.639652,77.146275,OZONE,3,52,37
Delhi,Delhi,"R K Puram, Delhi - DPCC",,28.563262,77.186937,PM10,100,406,215
Haryana,Panchgaon,"Amity University, Panchgaon - IITM",,28.3153,76.9143,CO,2,34,11
Himachal Pradesh,Baddi,"HIMUDA Complex Phase-1, Baddi - HPPCB",,30.943887,76.801991,PM2.5,60,190,93
Jammu_and_Kashmir,Srinagar,"Rajbagh, Srinagar - JKSPCB",,34.066206,74.81982,CO,12,20,17
Karnataka,Belgaum,"Ramteerth Nagar, Belgaum - KSPCB",,15.888653,74.541751,PM2.5,24,46,32
Karnataka,Belgaum,"Ramteerth Nagar, Belgaum - KSPCB",,15.888653,74.541751,SO2,15,16,15
Karnataka,Bengaluru,"Bapuji Nagar, Bengaluru - KSPCB",,12.951913,77.539784,NO2,14,19,16
Karnataka,Bengaluru,"Bapuji Nagar, Bengaluru - KSPCB",,12.951913,77.539784,SO2,17,37,27
Karnataka,Bengaluru,"City Railway Station, Bengaluru - KSPCB",,12.9756843,77.5660749,PM10,88,101,94
Karnataka,Bengaluru,"Hebbal, Bengaluru - KSPCB",,13.029152,77.585901,NO2,62,75,69
Karnataka,Bengaluru,"Hebbal, Bengaluru - KSPCB",,13.029152,77.585901,CO,4,36,28
Karnataka,Bengaluru,"Hombegowda Nagar, Bengaluru - KSPCB",,12.938539,77.5901,PM10,34,70,46
Karnataka,Bengaluru,"Jayanagar 5th Block, Bengaluru - KSPCB",,12.920984,77.584908,CO,2,46,18
Karnataka,Bengaluru,"Jayanagar 5th Block, Bengaluru - KSPCB",,12.920984,77.584908,OZONE,12,25,18
Karnataka,Bengaluru,"Jigani, Bengaluru - KSPCB",,12.7816279,77.6299145,PM2.5,5,196,69
Karnataka,Bengaluru,"Jigani, Bengaluru - KSPCB",,12.7816279,77.6299145,CO,15,180,98
Karnataka,Bengaluru,"Kasturi Nagar, Bengaluru - KSPCB",,13.003872,77.664217,PM2.5,36,39,37
Karnataka,Bengaluru,"Kasturi Nagar, Bengaluru - KSPCB",,13.003872,77.664217,NO2,15,41,32
Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB",,13.0270199,77.494094,PM2.5,28,91,65
Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB",,13.0270199,77.494094,NH3,3,4,3
Karnataka,Bengaluru,"RVCE-Mailasandra, Bengaluru - KSPCB",,12.921418,77.502466,PM2.5,55,57,56
Karnataka,Bengaluru,"Sanegurava Halli, Bengaluru - KSPCB",,12.990328,77.5431385,NO2,21,38,25
Haryana,Faridabad,"Sector 11, Faridabad - HSPCB",,28.376058,77.315741,OZONE,20,21,20
Haryana,Faridabad,"Sector 30, Faridabad - HSPCB",,28.4417,77.3217,SO2,6,6,6
Haryana,Gurugram,"NISE Gwal Pahari, Gurugram - IMD",,28.422681,77.148944,PM10,9,255,150
Haryana,Gurugram,"NISE Gwal Pahari, Gurugram - IMD",,28.422681,77.148944,CO,8,57,17
Haryana,Gurugram,"NISE Gwal Pahari, Gurugram - IMD",,28.422681,77.148944,OZONE,15,93,69
Haryana,Gurugram,"Sector-51, Gurugram - HSPCB",,28.4227,77.0667,OZONE,10,45,38
Gujarat,Vapi,"Phase-1 GIDC, Vapi - GPCB",,20.362421,72.918013,OZONE,2,2,2
Haryana,Charkhi Dadri,"Mini Secretariat, Charkhi Dadri - HSPCB",,28.593883,76.270653,NO2,14,25,18
Haryana,Faridabad,"New Industrial Town, Faridabad - HSPCB",,28.39072,77.30059,SO2,1,133,14
Haryana,Faridabad,"New Industrial Town, Faridabad - HSPCB",,28.39072,77.30059,CO,15,64,21
Haryana,Faridabad,"Sector 11, Faridabad - HSPCB",,28.376058,77.315741,NO2,30,32,31
Karnataka,Bengaluru,"Silk Board, Bengaluru - KSPCB",,12.917348,77.622813,PM10,54,163,99
Karnataka,Bengaluru,"Silk Board, Bengaluru - KSPCB",,12.917348,77.622813,NO2,14,63,30
Karnataka,Bengaluru,"Silk Board, Bengaluru - KSPCB",,12.917348,77.622813,SO2,3,10,6
Karnataka,Bengaluru,"Silk Board, Bengaluru - KSPCB",,12.917348,77.622813,CO,2,76,27
Karnataka,Chamarajanagar,"Urban, Chamarajanagar - KSPCB",,11.55358,76.55521,NH3,1,3,2
Karnataka,Chikkaballapur,"Chikkaballapur Rural, Chikkaballapur - KSPCB",,13.428828,77.731418,CO,3,22,13
Karnataka,Dharwad,"Kalabhavan, Dharwad - KSPCB",,15.459706,75.008381,OZONE,6,31,19
Karnataka,Davanagere,"Devaraj Urs Badavane, Davanagere - KSPCB",,14.4758,75.9052,NO2,8,15,12
Karnataka,Dharwad,"Kalabhavan, Dharwad - KSPCB",,15.459706,75.008381,CO,32,106,68
Gujarat,Ankleshwar,"GIDC, Ankleshwar - GPCB",,21.613267,73.010555,PM2.5,55,293,133
Karnataka,Madikeri,"Stuart Hill, Madikeri - KSPCB",,12.415911,75.73505,CO,10,20,13
Karnataka,Mysuru,"Hebbal 1st Stage, Mysuru - KSPCB",,12.21041,76.37376,NH3,3,6,5
Karnataka,Mysuru,"Hebbal 1st Stage, Mysuru - KSPCB",,12.21041,76.37376,SO2,2,5,4
Karnataka,Ramanagara,"Vijay Nagar, Ramanagara - KSPCB",,12.733409,77.298051,PM2.5,32,79,56
Karnataka,Ramanagara,"Vijay Nagar, Ramanagara - KSPCB",,12.733409,77.298051,NO2,2,4,3
Karnataka,Ramanagara,"Vijay Nagar, Ramanagara - KSPCB",,12.733409,77.298051,NH3,1,1,1
Karnataka,Ramanagara,"Vijay Nagar, Ramanagara - KSPCB",,12.733409,77.298051,OZONE,6,188,115
Karnataka,Shivamogga,"Vinoba Nagara, Shivamogga - KSPCB",,13.94,75.555917,PM2.5,27,47,37
Karnataka,Shivamogga,"Vinoba Nagara, Shivamogga - KSPCB",,13.94,75.555917,PM10,45,63,56
Karnataka,Shivamogga,"Vinoba Nagara, Shivamogga - KSPCB",,13.94,75.555917,NO2,17,29,26
Karnataka,Shivamogga,"Vinoba Nagara, Shivamogga - KSPCB",,13.94,75.555917,CO,8,30,24
Karnataka,Shivamogga,"Vinoba Nagara, Shivamogga - KSPCB",,13.94,75.555917,OZONE,26,95,51
Kerala,Thiruvananthapuram,"Plammoodu, Thiruvananthapuram - Kerala PCB",,8.5149093,76.9435879,CO,14,23,17
Kerala,Thiruvananthapuram,"Plammoodu, Thiruvananthapuram - Kerala PCB",,8.5149093,76.9435879,OZONE,16,38,21
Kerala,Thrissur,"Corporation Ground, Thrissur - Kerala PCB",,10.5324,76.2159,PM10,55,66,61
Kerala,Thrissur,"Corporation Ground, Thrissur - Kerala PCB",,10.5324,76.2159,OZONE,28,33,32
Madhya Pradesh,Bhopal,"Idgah Hills, Bhopal - MPPCB",,23.264759,77.381568,PM2.5,17,67,41
Madhya Pradesh,Bhopal,"Idgah Hills, Bhopal - MPPCB",,23.264759,77.381568,PM10,61,102,80
Madhya Pradesh,Bhopal,"Idgah Hills, Bhopal - MPPCB",,23.264759,77.381568,SO2,1,17,8
Madhya Pradesh,Bhopal,"Paryavaran Parisar, Bhopal - MPPCB",,23.210494,77.425409,PM2.5,13,307,83
Madhya Pradesh,Bhopal,"Paryavaran Parisar, Bhopal - MPPCB",,23.210494,77.425409,NH3,3,40,10
Madhya Pradesh,Bhopal,"Paryavaran Parisar, Bhopal - MPPCB",,23.210494,77.425409,OZONE,10,75,58
Madhya Pradesh,Bhopal,"T T Nagar, Bhopal - MPPCB",,23.233584,77.400574,NO2,24,57,37
Madhya Pradesh,Bhopal,"T T Nagar, Bhopal - MPPCB",,23.233584,77.400574,SO2,12,39,27
Madhya Pradesh,Katni,"Gole Bazar, Katni - MPPCB",,23.50016,80.23284,OZONE,6,132,113
Madhya Pradesh,Maihar,"Sahilara, Maihar - KJS Cements",,24.2613009,80.7231783,SO2,8,8,8
Madhya Pradesh,Maihar,"Sahilara, Maihar - KJS Cements",,24.2613009,80.7231783,CO,20,34,23
Madhya Pradesh,Mandideep,"Sector-D Industrial Area, Mandideep - MPPCB",,23.10844,77.511428,NO2,23,221,89
Madhya Pradesh,Mandideep,"Sector-D Industrial Area, Mandideep - MPPCB",,23.10844,77.511428,OZONE,28,38,31
Madhya Pradesh,Pithampur,"Sector-2 Industrial Area, Pithampur - MPPCB",,22.624758,75.675238,NH3,3,7,4
Madhya Pradesh,Pithampur,"Sector-2 Industrial Area, Pithampur - MPPCB",,22.624758,75.675238,OZONE,46,188,167
Madhya Pradesh,Ratlam,"Shasthri Nagar, Ratlam - IPCA Lab",,23.331731,75.045981,SO2,15,20,17
Madhya Pradesh,Jabalpur,"Govindh Bhavan Colony, Jabalpur - JMC",,23.163174,79.973061,NH3,1,2,2
Madhya Pradesh,Jabalpur,"Suhagi, Jabalpur - JMC",,23.218135,79.95777,NH3,2,10,3
Madhya Pradesh,Jabalpur,"Suhagi, Jabalpur - JMC",,23.218135,79.95777,OZONE,5,79,57
Madhya Pradesh,Katni,"Gole Bazar, Katni - MPPCB",,23.50016,80.23284,NH3,2,4,3
Madhya Pradesh,Katni,"Gole Bazar, Katni - MPPCB",,23.50016,80.23284,CO,24,80,31
Karnataka,Yadgir,"Collector Office, Yadgir - KSPCB",,16.7602,77.1428,NH3,1,2,2
Kerala,Eloor,"Udyogamandal, Eloor - Kerala PCB",,10.073232,76.302765,PM10,43,84,60
Kerala,Eloor,"Udyogamandal, Eloor - Kerala PCB",,10.073232,76.302765,NO2,7,8,8
Kerala,Kannur,"Thavakkara, Kannur - Kerala PCB",,11.875,75.3732,NO2,14,18,16
Karnataka,Koppal,"Diwator Nagar, Koppal - KSPCB",,15.34763,76.181767,PM2.5,17,46,34
Karnataka,Koppal,"Diwator Nagar, Koppal - KSPCB",,15.34763,76.181767,NO2,5,21,11
Karnataka,Koppal,"Diwator Nagar, Koppal - KSPCB",,15.34763,76.181767,CO,24,34,30
Karnataka,Madikeri,"Stuart Hill, Madikeri - KSPCB",,12.415911,75.73505,PM2.5,18,36,27
Karnataka,Madikeri,"Stuart Hill, Madikeri - KSPCB",,12.415911,75.73505,NO2,89,139,116
Kerala,Kannur,"Thavakkara, Kannur - Kerala PCB",,11.875,75.3732,SO2,4,7,6
Kerala,Kannur,"Thavakkara, Kannur - Kerala PCB",,11.875,75.3732,OZONE,26,32,30
Kerala,Kollam,"Polayathode, Kollam - Kerala PCB",,8.8787,76.6073,SO2,2,3,2
Kerala,Kollam,"Polayathode, Kollam - Kerala PCB",,8.8787,76.6073,OZONE,32,37,36
Madhya Pradesh,Dewas,"Bhopal Chauraha, Dewas - MPPCB",,22.9682591,76.064118,NH3,5,9,7
Madhya Pradesh,Gwalior,"Maharaj Bada, Gwalior - MPPCB",,26.200388,78.147714,PM10,59,185,101
Madhya Pradesh,Indore,"Vijay Nagar Scheme-78, Indore - Glenmark",,22.76726,75.8871,SO2,27,30,28
Maharashtra,Malegaon,"Mahesh Nagar, Malegaon - MPCB",,20.555712,74.529236,CO,16,107,22
Maharashtra,Mumbai,"Borivali East, Mumbai - MPCB",,19.2243333,72.8658113,PM2.5,40,54,47
Maharashtra,Mumbai,"Borivali East, Mumbai - MPCB",,19.2243333,72.8658113,NH3,1,8,4
Maharashtra,Mumbai,"Borivali East, Mumbai - MPCB",,19.2243333,72.8658113,CO,6,32,20
Maharashtra,Mumbai,"Byculla, Mumbai - BMC",,18.9767,72.838,PM2.5,39,97,64
Maharashtra,Mumbai,"Byculla, Mumbai - BMC",,18.9767,72.838,PM10,53,98,72
Maharashtra,Mumbai,"Byculla, Mumbai - BMC",,18.9767,72.838,OZONE,2,94,75
Maharashtra,Dhule,"Deopur, Dhule - MPCB",,20.918946,74.776388,CO,10,108,16
Maharashtra,Jalna,"Old MIDC, Jalna - MPCB",,19.854616,75.905894,PM10,59,108,76
Maharashtra,Jalna,"Old MIDC, Jalna - MPCB",,19.854616,75.905894,SO2,1,3,2
Maharashtra,Jalna,"Old MIDC, Jalna - MPCB",,19.854616,75.905894,OZONE,30,86,68
Maharashtra,Kalyan,"Khadakpada, Kalyan - MPCB",,19.25292,73.142019,PM2.5,60,118,85
