country,state,city,station,,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB",,22.118125,83.140608,SO2,NA,NA,NA
India,Chhattisgarh,Korba,"Rampur, Korba - CECB",,22.368195,82.746431,NH3,1,1,1
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB",,22.12665,83.483212,NO2,NA,NA,NA
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB",,22.1910172,83.5197009,PM2.5,NA,NA,NA
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB",,24.952822,84.002396,NO2,2,3,2
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB",,24.952822,84.002396,OZONE,NA,NA,NA
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC",,30.735567,76.775714,NO2,19,106,44
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC",,30.735567,76.775714,NH3,12,21,15
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC",,30.751462,76.762879,NO2,17,73,41
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB",,21.258815,81.578979,OZONE,4,35,19
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB",,21.219665,81.630094,PM10,56,118,84
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB",,21.371751,81.664929,PM2.5,55,313,128
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB",,21.371751,81.664929,NO2,26,50,37
India,Bihar,Munger,"Town Hall, Munger - BSPCB",,25.376776,86.471523,OZONE,4,32,15
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",,26.11442,85.39813,NO2,4,29,12
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",,25.586562,85.043586,SO2,2,6,4
India,Delhi,Delhi,"Patparganj, Delhi - DPCC",,28.623763,77.287209,NO2,30,151,83
India,Delhi,Delhi,"Patparganj, Delhi - DPCC",,28.623763,77.287209,CO,18,84,27
India,Delhi,Delhi,"Patparganj, Delhi - DPCC",,28.623763,77.287209,OZONE,2,252,184
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",,28.674045,77.131023,PM2.5,52,402,230
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",,28.674045,77.131023,CO,16,80,24
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",,28.674045,77.131023,OZONE,1,108,83
India,Delhi,Delhi,"Pusa, Delhi - DPCC",,28.639652,77.146275,NO2,59,120,98
India,Delhi,Delhi,"Pusa, Delhi - IMD",,28.63611,77.173332,PM10,90,216,153
India,Delhi,Delhi,"Pusa, Delhi - IMD",,28.63611,77.173332,CO,24,97,33
India,Delhi,Delhi,"Pusa, Delhi - IMD",,28.63611,77.173332,OZONE,12,148,108
India,Delhi,Delhi,"R K Puram, Delhi - DPCC",,28.563262,77.186937,NH3,3,5,4
India,Delhi,Delhi,"Rohini, Delhi - DPCC",,28.732528,77.11992,PM2.5,47,393,231
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC",,28.531346,77.190156,CO,22,112,32
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC",,28.672342,77.31526,NH3,2,5,3
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC",,28.672342,77.31526,SO2,17,105,43
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC",,28.699793,77.165453,NH3,10,15,12
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC",,28.699793,77.165453,CO,25,105,62
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM",,23.107969,72.574648,PM2.5,NA,NA,NA
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM",,23.107969,72.574648,NO2,NA,NA,NA
India,Gujarat,Ahmedabad,"Gyaspur, Ahmedabad - IITM",,22.977134,72.553024,PM2.5,NA,NA,NA
India,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB",,23.002657,72.591912,PM10,84,234,142
India,Delhi,Delhi,"Bawana, Delhi - DPCC",,28.7762,77.051074,NH3,5,8,7
India,Delhi,Delhi,"Burari Crossing, Delhi - IMD",,28.7256504,77.2011573,NO2,1,30,11
India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD",,28.5512005,77.2735737,PM2.5,52,370,250
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM",,28.656756,77.227234,PM10,97,254,152
India,Delhi,Delhi,"DTU, Delhi - CPCB",,28.7500499,77.1112615,PM2.5,39,314,131
India,Delhi,Delhi,"DTU, Delhi - CPCB",,28.7500499,77.1112615,PM10,125,467,247
India,Delhi,Delhi,"DTU, Delhi - CPCB",,28.7500499,77.1112615,NH3,12,22,14
India,Delhi,Delhi,"DTU, Delhi - CPCB",,28.7500499,77.1112615,OZONE,25,42,33
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",,28.498571,77.26484,PM10,99,441,215
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ",,28.5710274,77.0719006,PM2.5,52,382,223
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",,28.6811736,77.3025234,PM10,113,241,163
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",,28.6811736,77.3025234,OZONE,9,57,46
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",,28.611281,77.237738,NH3,15,22,18
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",,28.636429,77.201067,NO2,86,168,135
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",,28.636429,77.201067,SO2,3,18,9
India,Delhi,Delhi,"Mundka, Delhi - DPCC",,28.684678,77.076574,CO,20,81,26
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",,28.60909,77.0325413,NO2,49,73,64
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",,28.73282,77.170633,OZONE,2,308,233
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",,28.58028,77.233829,NH3,6,11,8
India,Delhi,Delhi,"Lodhi Road, Delhi - IITM",,28.588333,77.221667,PM2.5,75,316,222
India,Delhi,Delhi,"Lodhi Road, Delhi - IMD",,28.5918245,77.2273074,PM2.5,52,306,169
India,Delhi,Delhi,"Rohini, Delhi - DPCC",,28.732528,77.11992,CO,18,106,25
India,Delhi,Delhi,"Shadipur, Delhi - CPCB",,28.6514781,77.1473105,PM10,101,500,226
India,Delhi,Delhi,"Shadipur, Delhi - CPCB",,28.6514781,77.1473105,SO2,2,37,9
India,Delhi,Delhi,"Shadipur, Delhi - CPCB",,28.6514781,77.1473105,OZONE,16,69,28
India,Delhi,Delhi,"Sirifort, Delhi - CPCB",,28.5504249,77.2159377,CO,18,105,34
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM",,23.020509,72.579261,NH3,4,13,7
India,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM",,23.076793,72.627874,NO2,NA,NA,NA
India,Gujarat,Ahmedabad,"Sardar Vallabhbhai Patel Stadium, Ahmedabad - IITM",,23.04307,72.562968,NO2,NA,NA,NA
India,Gujarat,Ahmedabad,"Sardar Vallabhbhai Patel Stadium, Ahmedabad - IITM",,23.04307,72.562968,CO,16,68,30
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC",,28.570173,76.933762,OZONE,1,301,172
India,Delhi,Delhi,"North Campus, DU, Delhi - IMD",,28.6573814,77.1585447,PM10,124,329,202
India,Delhi,Delhi,"North Campus, DU, Delhi - IMD",,28.6573814,77.1585447,NO2,17,118,74
India,Delhi,Delhi,"North Campus, DU, Delhi - IMD",,28.6573814,77.1585447,CO,38,117,59
India,Karnataka,Haveri,"Ashwini Nagar, Haveri - KSPCB",,14.7918,75.3896,CO,23,24,24
India,Karnataka,Hubballi,"Lingaraj Nagar, Hubballi - KSPCB",,15.3714823,75.1160168,PM10,NA,NA,NA
India,Karnataka,Hubballi,"Lingaraj Nagar, Hubballi - KSPCB",,15.3714823,75.1160168,NO2,NA,NA,NA
India,Karnataka,Hubballi,"Lingaraj Nagar, Hubballi - KSPCB",,15.3714823,75.1160168,SO2,NA,NA,NA
India,Karnataka,Hubballi,"Lingaraj Nagar, Hubballi - KSPCB",,15.3714823,75.1160168,CO,1,46,11
India,Karnataka,Kalaburagi,"Mahatma Basaveswar Colony, Kalaburgi - KSPCB",,17.336318,76.847397,PM2.5,22,44,31
India,Karnataka,Kalaburagi,"Mahatma Basaveswar Colony, Kalaburgi - KSPCB",,17.336318,76.847397,SO2,3,8,4
India,Karnataka,Koppal,"Diwator Nagar, Koppal - KSPCB",,15.34763,76.181767,SO2,8,28,20
India,Karnataka,Madikeri,"Stuart Hill, Madikeri - KSPCB",,12.415911,75.73505,PM10,19,37,29
India,Haryana,Faridabad,"Sector 30, Faridabad - HSPCB",,28.4417,77.3217,NO2,36,39,37
India,Haryana,Faridabad,"Sector 30, Faridabad - HSPCB",,28.4417,77.3217,NH3,11,12,11
India,Haryana,Faridabad,"Sector 30, Faridabad - HSPCB",,28.4417,77.3217,OZONE,17,19,18
India,Haryana,Gurugram,"NISE Gwal Pahari, Gurugram - IMD",,28.422681,77.148944,PM2.5,1,331,172
India,Haryana,Gurugram,"Sector-51, Gurugram - HSPCB",,28.4227,77.0667,PM10,112,419,236
India,Haryana,Gurugram,"Sector-51, Gurugram - HSPCB",,28.4227,77.0667,NO2,10,10,10
India,Haryana,Gurugram,"Sector-51, Gurugram - HSPCB",,28.4227,77.0667,CO,24,103,42
India,Haryana,Gurugram,"Teri Gram, Gurugram - HSPCB",,28.4275,77.1465,PM2.5,NA,NA,NA
India,Haryana,Panchgaon,"Amity University, Panchgaon - IITM",,28.3153,76.9143,PM2.5,NA,NA,NA
India,Karnataka,Bengaluru,"Kasturi Nagar, Bengaluru - KSPCB",,13.003872,77.664217,PM10,82,466,137
India,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB",,13.0270199,77.494094,NO2,21,24,22
India,Karnataka,Bengaluru,"RVCE-Mailasandra, Bengaluru - KSPCB",,12.921418,77.502466,NO2,21,22,21
India,Karnataka,Bengaluru,"RVCE-Mailasandra, Bengaluru - KSPCB",,12.921418,77.502466,SO2,NA,NA,NA
India,Karnataka,Bengaluru,"RVCE-Mailasandra, Bengaluru - KSPCB",,12.921418,77.502466,CO,26,52,37
India,Karnataka,Bengaluru,"RVCE-Mailasandra, Bengaluru - KSPCB",,12.921418,77.502466,OZONE,23,24,24
India,Karnataka,Bengaluru,"Sanegurava Halli, Bengaluru - KSPCB",,12.990328,77.5431385,CO,4,119,37
India,Karnataka,Bengaluru,"Shivapura_Peenya, Bengaluru - KSPCB",,13.0246342,77.5080115,PM10,36,79,51
India,Jammu_and_Kashmir,Srinagar,"Rajbagh, Srinagar - JKSPCB",,34.066206,74.81982,PM10,33,44,39
India,Jammu_and_Kashmir,Srinagar,"Rajbagh, Srinagar - JKSPCB",,34.066206,74.81982,NO2,21,21,21
India,Jharkhand,Dhanbad,"Sardar Patel Nagar, Dhanbad - JSPCB",,23.80569,86.44268,PM10,81,301,153
India,Karnataka,Belgaum,"Ramteerth Nagar, Belgaum - KSPCB",,15.888653,74.541751,CO,13,18,15
India,Karnataka,Belgaum,"Ramteerth Nagar, Belgaum - KSPCB",,15.888653,74.541751,OZONE,18,24,20
India,Karnataka,Bengaluru,"BTM Layout, Bengaluru - CPCB",,12.9135218,77.5950804,NH3,7,8,7
India,Karnataka,Bengaluru,"Shivapura_Peenya, Bengaluru - KSPCB",,13.0246342,77.5080115,SO2,5,9,7
India,Karnataka,Bengaluru,"Silk Board, Bengaluru - KSPCB",,12.917348,77.622813,PM2.5,28,75,46
India,Karnataka,Bengaluru,"Silk Board, Bengaluru - KSPCB",,12.917348,77.622813,NH3,2,3,2
India,Karnataka,Chikkaballapur,"Chikkaballapur Rural, Chikkaballapur - KSPCB",,13.428828,77.731418,PM2.5,NA,NA,NA
India,Karnataka,Chikkamagaluru,"Kalyana Nagara, Chikkamagaluru - KSPCB",,13.328028,75.797056,PM10,NA,NA,NA
India,Karnataka,Chikkamagaluru,"Kalyana Nagara, Chikkamagaluru - KSPCB",,13.328028,75.797056,NO2,NA,NA,NA
